A,B,distance
45,12,7.7
45,14,9.0
38,12,9.2
35,12,10.0
45,16,10.3
38,14,10.7
32,12,10.9
35,14,11.6
45,18,11.6
38,16,12.2
32,14,12.7
45,20,12.9
35,16,13.3
26,12,13.4
38,18,13.8
32,16,14.5
35,18,14.9
38,20,15.3
26,14,15.6
32,18,16.3
45,26,16.8
35,20,16.6
20,12,17.4
26,16,17.9
32,20,18.1
38,26,19.9
26,18,20.1
20,14,20.3
35,26,21.6
26,20,22.3
32,26,23.6
38,32,24.4
20,18,26.1
35,32,26.5
38,35,26.7
32,32,28.0
35,38,31.5
32,35,31.5
18,20,32.3
38,45,34.4
32,38,34.5
26,32,35.7
16,20,36.3
35,45,37.3
20,26,37.7
26,35,39.1
32,45,40.8
14,20,41.5
18,26,41.9
26,38,42.4
20,32,45.5
16,26,47.2
12,20,48.4
20,35,50.8
26,45,50.2
18,32,51.6
14,26,53.9
20,38,55.2
18,35,56.5
16,32,58.1
18,38,61.3
12,26,62.9
16,35,63.5
20,45,65.3
14,32,66.4
16,38,69.0
18,45,72.6
14,35,72.6
12,32,77.4
14,38,78.8
16,45,81.7
12,35,84.7
12,38,91.9
14,45,93.3
12,45,108.9
